"","Name","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"15","2-2-5-0-0","GO:1902680","positive regulation of RNA biosynthetic process","11/33","232/4443",4.33704094222843e-07,4.19247291082082e-05,3.35803637866108e-05,"cad/mor/pygo/chn/ovo/nej/nsl1/Mitf/da/brm/Jarid2",11
"16","2-2-5-0-0","GO:1903508","positive regulation of nucleic acid-templated transcription","11/33","232/4443",4.33704094222843e-07,4.19247291082082e-05,3.35803637866108e-05,"cad/mor/pygo/chn/ovo/nej/nsl1/Mitf/da/brm/Jarid2",11
"17","2-2-5-0-0","GO:0009887","animal organ morphogenesis","14/33","422/4443",5.94508896484616e-07,5.17222739941616e-05,4.14278831024017e-05,"qua/cad/mor/asp/pygo/chn/ovo/nej/cic/Mitf/ebi/da/brm/dlp",14
"18","2-2-5-0-0","GO:0051173","positive regulation of nitrogen compound metabolic process","14/33","441/4443",1.0234919139998e-06,8.0948905925439e-05,6.48374781883129e-05,"G9a/cad/mor/twin/pygo/chn/ovo/nej/nsl1/Mitf/ebi/da/brm/Jarid2",14
"19","2-2-5-0-0","GO:0010557","positive regulation of macromolecule biosynthetic process","11/33","268/4443",1.84577072123783e-06,0.000133818377289743,0.000107184229601706,"cad/mor/pygo/chn/ovo/nej/nsl1/Mitf/da/brm/Jarid2",11
"20","2-2-5-0-0","GO:0031325","positive regulation of cellular metabolic process","14/33","480/4443",2.87408295034017e-06,0.000187800350428131,0.000150422059266089,"G9a/cad/mor/twin/pygo/chn/ovo/nej/nsl1/Mitf/ebi/da/brm/Jarid2",14
"21","2-2-5-0-0","GO:0010604","positive regulation of macromolecule metabolic process","14/33","482/4443",3.02207460459062e-06,0.000187800350428131,0.000150422059266089,"G9a/cad/mor/twin/pygo/chn/ovo/nej/nsl1/Mitf/ebi/da/brm/Jarid2",14
"22","2-2-5-0-0","GO:0048569","post-embryonic animal organ development","11/33","285/4443",3.38972706499688e-06,0.000196604169769819,0.000157473636282662,"qua/mor/pygo/chn/ovo/Alh/nsl1/cic/ebi/brm/dlp",11
"23","2-2-5-0-0","GO:0009791","post-embryonic development","12/33","361/4443",5.10317711261782e-06,0.000270726116656412,0.000216842939173073,"G9a/qua/mor/pygo/chn/ovo/Alh/nsl1/cic/ebi/brm/dlp",12
"24","2-2-5-0-0","GO:0031328","positive regulation of cellular biosynthetic process","11/33","299/4443",5.42180080208484e-06,0.000270726116656412,0.000216842939173073,"cad/mor/pygo/chn/ovo/nej/nsl1/Mitf/da/brm/Jarid2",11
"25","2-2-5-0-0","GO:0009891","positive regulation of biosynthetic process","11/33","300/4443",5.60122999978784e-06,0.000270726116656412,0.000216842939173073,"cad/mor/pygo/chn/ovo/nej/nsl1/Mitf/da/brm/Jarid2",11
"26","2-2-5-0-0","GO:0048736","appendage development","9/33","200/4443",9.54055836971225e-06,0.000415014289082483,0.000332413138986816,"qua/mor/pygo/ovo/Alh/cic/ebi/brm/dlp",9
"27","2-2-5-0-0","GO:0048737","imaginal disc-derived appendage development","9/33","200/4443",9.54055836971225e-06,0.000415014289082483,0.000332413138986816,"qua/mor/pygo/ovo/Alh/cic/ebi/brm/dlp",9
"28","2-2-5-0-0","GO:0045892","negative regulation of transcription, DNA-templated","8/33","158/4443",1.3940936362331e-05,0.00052733107109687,0.000422375280176803,"Rbf/Sirt1/Sfmbt/chn/Nelf-A/ovo/cic/ebi",8
"29","2-2-5-0-0","GO:1902679","negative regulation of RNA biosynthetic process","8/33","158/4443",1.3940936362331e-05,0.00052733107109687,0.000422375280176803,"Rbf/Sirt1/Sfmbt/chn/Nelf-A/ovo/cic/ebi",8
"30","2-2-5-0-0","GO:1903507","negative regulation of nucleic acid-templated transcription","8/33","158/4443",1.3940936362331e-05,0.00052733107109687,0.000422375280176803,"Rbf/Sirt1/Sfmbt/chn/Nelf-A/ovo/cic/ebi",8
"31","2-2-5-0-0","GO:0045944","positive regulation of transcription by RNA polymerase II","8/33","163/4443",1.75322896548534e-05,0.000635545499988436,0.000509051568048814,"cad/pygo/chn/ovo/nej/nsl1/da/brm",8
"32","2-2-5-0-0","GO:0010558","negative regulation of macromolecule biosynthetic process","9/33","217/4443",1.85172438020219e-05,0.000644400084310363,0.000516143806186885,"Rbf/Sirt1/Sfmbt/twin/chn/Nelf-A/ovo/cic/ebi",9
"33","2-2-5-0-0","GO:0009890","negative regulation of biosynthetic process","9/33","222/4443",2.22501999314468e-05,0.000716950886679952,0.00057425467269465,"Rbf/Sirt1/Sfmbt/twin/chn/Nelf-A/ovo/cic/ebi",9
"34","2-2-5-0-0","GO:0031327","negative regulation of cellular biosynthetic process","9/33","222/4443",2.22501999314468e-05,0.000716950886679952,0.00057425467269465,"Rbf/Sirt1/Sfmbt/twin/chn/Nelf-A/ovo/cic/ebi",9
"35","2-2-5-0-0","GO:0051253","negative regulation of RNA metabolic process","8/33","172/4443",2.59734334394219e-05,0.000807031681867751,0.000646406501387116,"Rbf/Sirt1/Sfmbt/chn/Nelf-A/ovo/cic/ebi",8
"36","2-2-5-0-0","GO:0002009","morphogenesis of an epithelium","11/33","355/4443",2.81782381175522e-05,0.000839148497597768,0.000672131041028097,"Rab23/qua/cad/mor/pygo/ovo/nej/cic/ebi/brm/dlp",11
"37","2-2-5-0-0","GO:0048729","tissue morphogenesis","11/33","356/4443",2.89361550895782e-05,0.000839148497597768,0.000672131041028097,"Rab23/qua/cad/mor/pygo/ovo/nej/cic/ebi/brm/dlp",11
"38","2-2-5-0-0","GO:0048477","oogenesis","12/33","439/4443",3.82100056608891e-05,0.00107234532016044,0.000858914218930681,"Rbf/Sfmbt/qua/twin/asp/mim/ovo/nej/nsl1/cic/da/brm",12
"39","2-2-5-0-0","GO:0035220","wing disc development","9/33","244/4443",4.73053875783997e-05,0.00128611522478774,0.00103013705845068,"G9a/CG11399/qua/mor/pygo/cic/ebi/brm/dlp",9
"40","2-2-5-0-0","GO:0045934","negative regulation of nucleobase-containing compound metabolic process","8/33","190/4443",5.33371241470025e-05,0.0014061605456937,0.00112628951149332,"Rbf/Sirt1/Sfmbt/chn/Nelf-A/ovo/cic/ebi",8
"41","2-2-5-0-0","GO:0002165","instar larval or pupal development","10/33","313/4443",5.60350217995832e-05,0.00143383732251875,0.00114845772233201,"G9a/qua/mor/pygo/ovo/Alh/cic/ebi/brm/dlp",10
"42","2-2-5-0-0","GO:0035120","post-embryonic appendage morphogenesis","8/33","196/4443",6.66259809449665e-05,0.00162453235521351,0.00130119832928172,"qua/mor/pygo/ovo/cic/ebi/brm/dlp",8
"43","2-2-5-0-0","GO:0035107","appendage morphogenesis","8/33","197/4443",6.90893070608045e-05,0.00162453235521351,0.00130119832928172,"qua/mor/pygo/ovo/cic/ebi/brm/dlp",8
"44","2-2-5-0-0","GO:0035114","imaginal disc-derived appendage morphogenesis","8/33","197/4443",6.90893070608045e-05,0.00162453235521351,0.00130119832928172,"qua/mor/pygo/ovo/cic/ebi/brm/dlp",8
"45","2-2-5-0-0","GO:0007292","female gamete generation","12/33","470/4443",7.55289023208036e-05,0.00172921434260787,0.00138504524477485,"Rbf/Sfmbt/qua/twin/asp/mim/ovo/nej/nsl1/cic/da/brm",12
"46","2-2-5-0-0","GO:0007281","germ cell development","12/33","491/4443",0.000116138206887784,0.00259077538441979,0.00207512801510696,"Rbf/Sfmbt/qua/twin/asp/mim/ovo/nej/nsl1/cic/da/brm",12
"47","2-2-5-0-0","GO:0060562","epithelial tube morphogenesis","9/33","277/4443",0.000127596700106353,0.00266324080484192,0.0021331704934124,"qua/cad/mor/pygo/ovo/cic/ebi/brm/dlp",9
"48","2-2-5-0-0","GO:0008587","imaginal disc-derived wing margin morphogenesis","4/33","41/4443",0.000210552771938753,0.00418982081882593,0.00335591213800698,"mor/ebi/brm/dlp",4
"49","2-2-5-0-0","GO:0048699","generation of neurons","11/33","442/4443",0.000211898983940622,0.00418982081882593,0.00335591213800698,"G9a/qua/mor/chn/ovo/nej/ebi/da/Spn/brm/dlp",11
"50","2-2-5-0-0","GO:0035239","tube morphogenesis","9/33","302/4443",0.000247204543103314,0.00474356260545842,0.00379944155452326,"qua/cad/mor/pygo/ovo/cic/ebi/brm/dlp",9
"51","2-2-5-0-0","GO:0007476","imaginal disc-derived wing morphogenesis","7/33","177/4443",0.0002508090573001,0.00474356260545842,0.00379944155452326,"qua/mor/pygo/cic/ebi/brm/dlp",7
"52","2-2-5-0-0","GO:0051172","negative regulation of nitrogen compound metabolic process","9/33","305/4443",0.000266417668623163,0.00475419352191175,0.00380795657774419,"Rbf/Sirt1/Sfmbt/twin/chn/Nelf-A/ovo/cic/ebi",9
"53","2-2-5-0-0","GO:0007560","imaginal disc morphogenesis","8/33","239/4443",0.000267764922498478,0.00475419352191175,0.00380795657774419,"qua/mor/pygo/ovo/cic/ebi/brm/dlp",8
"54","2-2-5-0-0","GO:0048563","post-embryonic animal organ morphogenesis","8/33","239/4443",0.000267764922498478,0.00475419352191175,0.00380795657774419,"qua/mor/pygo/ovo/cic/ebi/brm/dlp",8
"55","2-2-5-0-0","GO:0007472","wing disc morphogenesis","7/33","184/4443",0.000318664644217509,0.00554476480938465,0.00444117883098928,"qua/mor/pygo/cic/ebi/brm/dlp",7
"56","2-2-5-0-0","GO:0050793","regulation of developmental process","10/33","387/4443",0.00033239966274537,0.00567034718800925,0.00454176628973034,"G9a/mor/chn/ovo/pico/cic/ebi/Spn/brm/dlp",10
"57","2-2-5-0-0","GO:0022008","neurogenesis","11/33","467/4443",0.000345469208526514,0.00577996560419361,0.00462956712640795,"G9a/qua/mor/chn/ovo/nej/ebi/da/Spn/brm/dlp",11
"58","2-2-5-0-0","GO:0120036","plasma membrane bounded cell projection organization","9/33","324/4443",0.000419429613123059,0.00663461388031021,0.00531411299306153,"G9a/qua/chn/mim/ovo/pico/Spn/brm/dlp",9
"59","2-2-5-0-0","GO:0030030","cell projection organization","9/33","329/4443",0.000470053091083815,0.00707050343293216,0.00566324654882165,"G9a/qua/chn/mim/ovo/pico/Spn/brm/dlp",9
"60","2-2-5-0-0","GO:0030182","neuron differentiation","10/33","404/4443",0.000471366895528811,0.00707050343293216,0.00566324654882165,"G9a/qua/chn/ovo/nej/ebi/da/Spn/brm/dlp",10
"61","2-2-5-0-0","GO:0031324","negative regulation of cellular metabolic process","9/33","336/4443",0.000549374448488602,0.00810094525737431,0.00648859741123024,"Rbf/Sirt1/Sfmbt/twin/chn/Nelf-A/ovo/cic/ebi",9
"62","2-2-5-0-0","GO:0000122","negative regulation of transcription by RNA polymerase II","5/33","94/4443",0.000565685675770068,0.00811358181983658,0.00649871889259748,"Rbf/chn/Nelf-A/ovo/cic",5
"63","2-2-5-0-0","GO:0048707","instar larval or pupal morphogenesis","8/33","267/4443",0.000568883323000036,0.00811358181983658,0.00649871889259748,"qua/mor/pygo/ovo/cic/ebi/brm/dlp",8
"64","2-2-5-0-0","GO:0007447","imaginal disc pattern formation","4/33","55/4443",0.000659021354175977,0.0092475577118242,0.00740699722350589,"CG11399/cad/cic/dlp",4
"65","2-2-5-0-0","GO:0009886","post-embryonic animal morphogenesis","8/33","276/4443",0.000710227690207897,0.00980790619810906,0.00785581839461367,"qua/mor/pygo/ovo/cic/ebi/brm/dlp",8
"66","2-2-5-0-0","GO:0007552","metamorphosis","8/33","278/4443",0.000745224871969926,0.0101304006033412,0.0081141260730936,"qua/mor/pygo/ovo/cic/ebi/brm/dlp",8
"67","2-2-5-0-0","GO:0051128","regulation of cellular component organization","10/33","433/4443",0.000820519107239446,0.010982332666128,0.00879649633995973,"G9a/Rbf/qua/mim/nej/pico/nsl1/cic/Mitf/Spn",10
"68","2-2-5-0-0","GO:0003002","regionalization","8/33","283/4443",0.000838891350350272,0.0110581132546172,0.00885719416159298,"CG11399/cad/mor/pygo/ovo/cic/brm/dlp",8
"69","2-2-5-0-0","GO:1901988","negative regulation of cell cycle phase transition","4/33","61/4443",0.000977239633364413,0.0126895295675678,0.0101639063203023,"Rbf/mor/nej/brm",4
"70","2-2-5-0-0","GO:0007389","pattern specification process","8/33","308/4443",0.00146137140383586,0.0179069453709465,0.0143428890932445,"CG11399/cad/mor/pygo/ovo/cic/brm/dlp",8
"71","2-2-5-0-0","GO:0007015","actin filament organization","5/33","118/4443",0.00158823378334663,0.0188027634358484,0.0150604106406916,"qua/asp/sced/pico/Spn",5
"72","2-2-5-0-0","GO:0010948","negative regulation of cell cycle process","4/33","70/4443",0.00163811152582066,0.0190020936995197,0.0152200677907828,"Rbf/mor/nej/brm",4
"73","2-2-5-0-0","GO:0016570","histone modification","5/33","125/4443",0.00205159530851279,0.023180362576703,0.018566727193923,"G9a/Sirt1/nej/ebi/brm",5
"74","2-2-5-0-0","GO:0051093","negative regulation of developmental process","5/33","130/4443",0.00243861534696333,0.0268556373652923,0.0215105044595566,"mor/chn/cic/Spn/brm",5
"75","2-2-5-0-0","GO:0007423","sensory organ development","7/33","260/4443",0.00248641543211275,0.0270397678242262,0.0216579870534032,"chn/nej/cic/Mitf/ebi/da/dlp",7
"76","2-2-5-0-0","GO:0045786","negative regulation of cell cycle","4/33","79/4443",0.00256107319594934,0.0273903924766535,0.0219388261579487,"Rbf/mor/nej/brm",4
"77","2-2-5-0-0","GO:0010605","negative regulation of macromolecule metabolic process","9/33","417/4443",0.00258162319894895,0.0273903924766535,0.0219388261579487,"Rbf/Sirt1/Sfmbt/twin/chn/Nelf-A/ovo/cic/ebi",9
"78","2-2-5-0-0","GO:0030855","epithelial cell differentiation","7/33","266/4443",0.00283124406282058,0.0296768955982398,0.023770241846382,"Rbf/qua/mim/ovo/nej/cic/da",7
"79","2-2-5-0-0","GO:0009892","negative regulation of metabolic process","9/33","446/4443",0.00409031726241129,0.0409031726241129,0.0327621297969301,"Rbf/Sirt1/Sfmbt/twin/chn/Nelf-A/ovo/cic/ebi",9
"80","2-2-5-0-0","GO:0035282","segmentation","5/33","148/4443",0.00428098665818053,0.0414190246588999,0.0331753107370741,"cad/pygo/ovo/cic/dlp",5
"81","2-2-5-0-0","GO:1901987","regulation of cell cycle phase transition","4/33","92/4443",0.00445028082360228,0.0425466408410327,0.0340784951442997,"Rbf/mor/nej/brm",4
"82","2-2-5-0-0","GO:0051241","negative regulation of multicellular organismal process","4/33","95/4443",0.00499172561755127,0.046696788035157,0.0374026299809727,"mor/cic/Spn/brm",4
"83","3-3-2-0-0","GO:0048589","developmental growth","40/293","224/4443",2.70172407570478e-09,2.63455391622156e-06,2.14573095441763e-06,"Ten-m/CycY/Top3alpha/Abi/RhoGAP92B/Hs6st/Pi3K92E/p53/spas/shg/Sema2a/Galphao/Vang/Pten/Rab10/Arp2/Stat92E/dlg1/Mer/bun/Mob2/crb/hpo/Csk/Eps-15/scrib/Src42A/Pi4KIIIalpha/Pak/Frl/LIMK1/trio/Strip/Eip63E/hep/baz/DCTN1-p150/Liprin-beta/Abp1/ssp",40
"84","3-3-2-0-0","GO:0040007","growth","45/293","271/4443",2.77906531247e-09,2.63455391622156e-06,2.14573095441763e-06,"Ten-m/CycY/Top3alpha/Abi/RhoGAP92B/Hs6st/Pi3K92E/p53/spas/puf/Trc8/shg/Sema2a/Galphao/Vang/Hcf/Pten/Rab10/Arp2/Stat92E/dlg1/Mer/bun/Mob2/crb/hpo/Csk/Eps-15/scrib/hppy/Src42A/Pi4KIIIalpha/Pak/Frl/LIMK1/trio/Strip/Eip63E/hep/sl/baz/DCTN1-p150/Liprin-beta/Abp1/ssp",45
"85","3-3-2-0-0","GO:0050793","regulation of developmental process","54/293","387/4443",3.74927860606305e-08,2.36954407903184e-05,1.92989182985772e-05,"csw/numb/tws/Mical/Abi/RhoGAP92B/Hs6st/Pi3K92E/p53/unk/spas/Miga/Sema2a/shn/Galphao/Vang/PlexB/ari-1/Pten/exd/Pp2B-14D/Arp2/zfh1/Stat92E/dlg1/Mer/bun/Mob2/crb/cwo/Atg13/hpo/Dhc64C/Csk/pyd/norpA/Eps-15/scrib/Src42A/Bruce/Pi4KIIIalpha/Pak/Frl/slmb/LIMK1/trio/Strip/sl/baz/trc/DCTN1-p150/Abp1/ssp/Tak1",54
"86","3-3-2-0-0","GO:0051128","regulation of cellular component organization","57/293","433/4443",1.20378176443664e-07,5.70592556342966e-05,4.64723118007512e-05,"Ten-m/Chro/numb/tws/prd1/Abi/msps/RhoGAP92B/Pi3K92E/spas/puf/Miga/Sema2a/wde/Galphao/Vang/PlexB/Pten/Rab10/Arp2/Stat92E/Slik/cana/dlg1/lap/Mer/Vrp1/bun/Mob2/pds5/Dhc64C/pyd/norpA/Ssrp/gek/Eps-15/scrib/CG43658/Src42A/Svil/Pi4KIIIalpha/Pak/slmb/LIMK1/trio/Cnb/Strip/hep/sl/mthl1/baz/trc/DCTN1-p150/Abp1/CG32066/Cdc27/lilli",57
"87","3-3-2-0-0","GO:0007010","cytoskeleton organization","53/293","400/4443",2.97095625403639e-07,9.71691123707306e-05,7.91400665377869e-05,"Ten-m/Chro/TTLL4A/Lrch/trbd/tws/Mical/Abi/msps/RhoGAP92B/spas/Map205/ric8a/Khc-73/Galphao/osp/Pten/Arp2/Slik/gukh/dlg1/CG17493/Vrp1/crb/Dys/Ppcs/didum/RhoGAP18B/Dhc64C/Ssrp/gek/CG43658/jvl/Ack-like/Src42A/Svil/Pi4KIIIalpha/Frl/slmb/Sac1/LIMK1/trio/Cnb/Mrtf/Strip/hep/mthl1/baz/DCTN1-p150/Abp1/Klp68D/CG32066/lilli",53
"88","3-3-2-0-0","GO:0006468","protein phosphorylation","34/293","205/4443",3.07497191046616e-07,9.71691123707306e-05,7.91400665377869e-05,"MAPk-Ak2/Madm/aux/CycY/Mkk4/CG8312/Abi/Pi3K92E/Pten/PhKgamma/for/Slik/CG40191/CG17698/Mer/Mob2/Atg13/hpo/Csk/Ssrp/gek/CG7028/hppy/Ack-like/Src42A/dop/Pak/PRAS40/LIMK1/Eip63E/hep/trc/Cdk8/Tak1",34
"89","3-3-2-0-0","GO:0051960","regulation of nervous system development","25/293","128/4443",5.59315854674453e-07,0.000151494694351823,0.000123385918617658,"numb/tws/RhoGAP92B/Pi3K92E/unk/spas/Sema2a/Galphao/Vang/PlexB/ari-1/Arp2/dlg1/Mer/bun/Mob2/cwo/hpo/Src42A/Pak/slmb/trio/Strip/DCTN1-p150/Abp1",25
"90","3-3-2-0-0","GO:0034329","cell junction assembly","27/293","147/4443",7.0582386063921e-07,0.000160258669984783,0.000130523800170817,"Ten-m/Cont/pasi2/Mical/RhoGAP92B/Pi3K92E/spas/shg/Galphao/Pten/alpha-Cat/Arp2/dlg1/Mob2/crb/pyd/Eps-15/scrib/Src42A/Pi4KIIIalpha/Pak/LIMK1/trio/Strip/baz/Liprin-beta/Abp1",27
"91","3-3-2-0-0","GO:0051093","negative regulation of developmental process","25/293","130/4443",7.60721534737892e-07,0.000160258669984783,0.000130523800170817,"numb/tws/p53/spas/Sema2a/shn/Galphao/Pten/zfh1/Stat92E/dlg1/Mer/bun/Mob2/crb/hpo/Csk/norpA/scrib/Src42A/Bruce/slmb/Strip/sl/trc",25
"92","3-3-2-0-0","GO:0035295","tube development","53/293","414/4443",9.12108420892507e-07,0.000172935756601219,0.000140848742468348,"csw/numb/B4/tws/RhoGAP92B/Hs6st/Pi3K92E/unk/puf/shg/shn/Galphao/Vang/Pten/Pp2B-14D/betaggt-I/CG8405/Nipped-A/Stat92E/Slik/lace/dlg1/crb/Dys/pic/Ppcs/Dhc64C/Csk/pyd/px/ken/scrib/CG43658/Src42A/dop/Pak/Sac1/LIMK1/trio/Mrtf/hep/mthl1/baz/trc/MYPT-75D/DCTN1-p150/ssp/FoxK/Cdk8/foi/Sep1/Tak1/lilli",53
"93","3-3-2-0-0","GO:0034330","cell junction organization","33/293","206/4443",1.06125396493404e-06,0.000182921592501358,0.000148981776704137,"Ten-m/Cont/pasi2/Mical/Abi/RhoGAP92B/Pi3K92E/spas/shg/Galphao/Pten/alpha-Cat/Arp2/dlg1/Dyb/Mob2/crb/Dys/Csk/pyd/Eps-15/scrib/Src42A/CrebB/Pi4KIIIalpha/Pak/Sac1/LIMK1/trio/Strip/baz/Liprin-beta/Abp1",33
"94","3-3-2-0-0","GO:2000026","regulation of multicellular organismal development","28/293","162/4443",1.57363638279144e-06,0.000229872163990971,0.000187220999652873,"numb/tws/RhoGAP92B/Pi3K92E/unk/spas/Sema2a/Galphao/Vang/PlexB/ari-1/Pten/Pp2B-14D/Arp2/dlg1/Mer/bun/Mob2/cwo/hpo/pyd/Src42A/Pak/slmb/trio/Strip/DCTN1-p150/Abp1",28
"95","3-3-2-0-0","GO:0022008","neurogenesis","57/293","467/4443",1.61740305554223e-06,0.000229872163990971,0.000187220999652873,"csw/Ten-m/Cont/numb/Mkk4/pasi2/tws/Mical/Abi/msps/Pi3K92E/p53/unk/spas/ric8a/shg/Sema2a/shn/Galphao/Vang/LRP1/PlexB/ari-1/CG8765/Pten/exd/zfh1/for/Slik/Mer/bun/Mob2/crb/cwo/inaE/didum/hpo/Dhc64C/gek/scrib/Src42A/PIG-V/Pak/Frl/slmb/Sac1/LIMK1/trio/CG12004/Strip/hep/sl/baz/trc/DCTN1-p150/Liprin-beta/Abp1",57
"96","3-3-2-0-0","GO:0016310","phosphorylation","36/293","240/4443",1.69736829951139e-06,0.000229872163990971,0.000187220999652873,"MAPk-Ak2/Madm/aux/CycY/Mkk4/CG8312/Abi/Pi3K92E/p53/CG8027/Pten/PhKgamma/for/Slik/CG40191/CG17698/Mer/Mob2/Atg13/hpo/Csk/Ssrp/gek/CG7028/hppy/Ack-like/Src42A/dop/Pak/PRAS40/LIMK1/Eip63E/hep/trc/Cdk8/Tak1",36
"97","3-3-2-0-0","GO:0006928","movement of cell or subcellular component","47/293","358/4443",2.05969388346131e-06,0.000260345306869509,0.00021204006505528,"csw/Ten-m/Cont/numb/trbd/Mical/Abi/msps/Pi3K92E/spas/shg/Sema2a/Khc-73/Vang/LRP1/PlexB/Pten/alpha-Cat/zfh1/Stat92E/for/cana/bun/crb/Ppcs/didum/hpo/Dhc64C/Csk/jvl/Src42A/dop/Pak/Frl/slmb/Sac1/trio/Mrtf/hep/CG11178/sl/mthl1/baz/trc/DCTN1-p150/Klp68D/foi",47
"98","3-3-2-0-0","GO:0030182","neuron differentiation","51/293","404/4443",2.34540421151427e-06,0.000277930399064441,0.000226362366992858,"csw/Ten-m/Cont/Mkk4/Mical/Abi/msps/Pi3K92E/p53/unk/spas/shg/Sema2a/shn/Galphao/Vang/LRP1/PlexB/CG8765/Pten/exd/zfh1/for/Slik/Mer/bun/Mob2/crb/cwo/didum/hpo/Dhc64C/gek/scrib/Src42A/PIG-V/Pak/Frl/slmb/Sac1/LIMK1/trio/CG12004/Strip/hep/sl/baz/trc/DCTN1-p150/Liprin-beta/Abp1",51
"99","3-3-2-0-0","GO:0048699","generation of neurons","54/293","442/4443",3.1418009065292e-06,0.000350403206987022,0.000285388354791229,"csw/Ten-m/Cont/numb/Mkk4/tws/Mical/Abi/msps/Pi3K92E/p53/unk/spas/ric8a/shg/Sema2a/shn/Galphao/Vang/LRP1/PlexB/CG8765/Pten/exd/zfh1/for/Slik/Mer/bun/Mob2/crb/cwo/didum/hpo/Dhc64C/gek/scrib/Src42A/PIG-V/Pak/Frl/slmb/Sac1/LIMK1/trio/CG12004/Strip/hep/sl/baz/trc/DCTN1-p150/Liprin-beta/Abp1",54
"100","3-3-2-0-0","GO:0051674","localization of cell","32/293","207/4443",3.48050500825639e-06,0.000366613194203007,0.000298590692813575,"csw/numb/trbd/Abi/Pi3K92E/spas/shg/Sema2a/Vang/PlexB/Pten/alpha-Cat/zfh1/Stat92E/bun/Ppcs/hpo/Dhc64C/Csk/jvl/Src42A/dop/Pak/Frl/slmb/Mrtf/hep/CG11178/sl/mthl1/baz/foi",32
