Tissue,Module,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count
body,2,GO:0009152,purine ribonucleotide biosynthetic process,16/345,46/4443,1.4229989997009934e-7,5.092028852984095e-6,4.939000795548256e-6,16
body,2,GO:0042254,ribosome biogenesis,31/345,148/4443,1.8695406175946984e-7,6.51387309919837e-6,6.31811510655272e-6,31
body,2,GO:0042273,ribosomal large subunit biogenesis,16/345,50/4443,5.291666116765134e-7,1.7964528047684713e-5,1.7424649561277905e-5,16
body,2,GO:0006164,purine nucleotide biosynthetic process,16/345,51/4443,7.173020845247493e-7,2.3163608778311414e-5,2.2467485060852226e-5,16
body,2,GO:0009260,ribonucleotide biosynthetic process,16/345,51/4443,7.173020845247493e-7,2.3163608778311414e-5,2.2467485060852226e-5,16
body,2,GO:0046390,ribose phosphate biosynthetic process,16/345,53/4443,1.2844160376892292e-6,4.048968652144142e-5,3.9272871327841096e-5,16
body,2,GO:0072522,purine-containing compound biosynthetic process,16/345,54/4443,1.6979981045515207e-6,5.228254628898171e-5,5.07113265006819e-5,16
body,2,GO:0022618,ribonucleoprotein complex assembly,18/345,73/4443,7.072468307181029e-6,2.0927088530429668e-4,2.0298177776374777e-4,18
body,2,GO:0009150,purine ribonucleotide metabolic process,19/345,80/4443,7.112681147049358e-6,2.0927088530429668e-4,2.0298177776374777e-4,19
body,2,GO:0022613,ribonucleoprotein complex biogenesis,33/345,191/4443,7.311613234591173e-6,2.1044730266518943e-4,2.0412284087417004e-4,33
body,2,GO:0042274,ribosomal small subunit biogenesis,13/345,42/4443,9.577861094319789e-6,2.698103848697745e-4,2.6170191567906256e-4,13
body,2,GO:0071826,ribonucleoprotein complex subunit organization,18/345,75/4443,1.0639769830830987e-5,2.934803178337547e-4,2.846605086318817e-4,18
body,2,GO:0065003,protein-containing complex assembly,45/345,307/4443,1.4852390452619797e-5,4.0131765222997163e-4,3.8925706449400975e-4,45
body,2,GO:0009259,ribonucleotide metabolic process,19/345,86/4443,2.169659061417743e-5,5.745257194634184e-4,5.572598010378204e-4,19
body,2,GO:0006163,purine nucleotide metabolic process,19/345,87/4443,2.5819701400086515e-5,6.702996990924421e-4,6.501555357710123e-4,19
body,2,GO:0072521,purine-containing compound metabolic process,20/345,96/4443,3.2890043664623714e-5,8.374311117684961e-4,8.122642362518408e-4,20
body,2,GO:0000027,ribosomal large subunit assembly,7/345,14/4443,3.4108961824698825e-5,8.520804803000235e-4,8.264733550373896e-4,7
body,2,GO:0009165,nucleotide biosynthetic process,16/345,67/4443,3.539957100182698e-5,8.67945037155906e-4,8.418611427335073e-4,16
body,2,GO:0019693,ribose phosphate metabolic process,19/345,89/4443,3.622312786709788e-5,8.719894781097744e-4,8.457840382365438e-4,19
body,2,GO:1901293,nucleoside phosphate biosynthetic process,16/345,68/4443,4.3072719603360275e-5,0.0010183621563365894,9.87757855565781e-4,16
body,2,GO:0044281,small molecule metabolic process,53/345,418/4443,1.5335755109626518e-4,0.003562199958797458,0.0034551470422427245,53
body,2,GO:0098660,inorganic ion transmembrane transport,18/345,95/4443,2.914194338706393e-4,0.006652402249047007,0.006452481112925226,18
body,2,GO:0098662,inorganic cation transmembrane transport,16/345,83/4443,5.150750438904308e-4,0.011558633188320854,0.01121126768146879,16
body,2,GO:0009117,nucleotide metabolic process,19/345,110/4443,6.765608196764482e-4,0.014929442087526957,0.014480775438688892,19
body,2,GO:0016053,organic acid biosynthetic process,14/345,71/4443,9.043500390404432e-4,0.019312249220799143,0.01873186838080375,14
body,2,GO:0046394,carboxylic acid biosynthetic process,14/345,71/4443,9.043500390404432e-4,0.019312249220799143,0.01873186838080375,14
body,2,GO:0098655,cation transmembrane transport,17/345,96/4443,9.634857841898559e-4,0.020248494893132844,0.01963997755574978,17
body,2,GO:0006753,nucleoside phosphate metabolic process,19/345,114/4443,0.001062623882479081,0.02198303156878599,0.021322387115534195,19
body,2,GO:0043933,protein-containing complex organization,45/345,368/4443,0.001117917364744289,0.022771116783406747,0.022086788420858827,45
body,2,GO:0034220,ion transmembrane transport,19/345,119/4443,0.0017977331451052999,0.03606361642605178,0.03497981558259117,19
body,2,GO:0006633,fatty acid biosynthetic process,9/345,38/4443,0.0019939012290466104,0.039401869063547944,0.03821774547426339,9
body,2,GO:0072330,monocarboxylic acid biosynthetic process,9/345,39/4443,0.002418745685829598,0.04709440129468217,0.04567909809151873,9
body,3,GO:0051276,chromosome organization,80/356,337/4443,8.714652916588947e-21,1.6008817407773896e-17,1.0861209529727699e-17,80
body,3,GO:0010605,negative regulation of macromolecule metabolic process,90/356,417/4443,2.0818874589138748e-20,1.912213631012394e-17,1.2973446059758042e-17,90
body,3,GO:0009892,negative regulation of metabolic process,92/356,446/4443,1.94892919607825e-19,1.1933943110652485e-16,8.096604098795257e-17,92
body,3,GO:0010604,positive regulation of macromolecule metabolic process,94/356,482/4443,4.231759292047737e-18,1.7654591200028808e-15,1.1977787571746905e-15,94
body,3,GO:0006357,regulation of transcription by RNA polymerase II,83/356,394/4443,4.805277953192381e-18,1.7654591200028808e-15,1.1977787571746905e-15,83
body,3,GO:0006366,transcription by RNA polymerase II,87/356,440/4443,4.4468621931716646e-17,1.3614809748093913e-14,9.236990941605704e-15,87
body,3,GO:0007049,cell cycle,93/356,494/4443,8.111110451168123e-17,2.128587128399406e-14,1.4441435750651216e-14,93
body,3,GO:0051173,positive regulation of nitrogen compound metabolic process,86/356,441/4443,1.7660360633695063e-16,4.055260310512229e-14,2.751298288196705e-14,86
body,3,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,65/356,284/4443,5.579160004319366e-16,1.138768547548297e-13,7.725994672648104e-14,65
body,3,GO:0006325,chromatin organization,50/356,183/4443,1.0664100386227393e-15,1.958995240949972e-13,1.3290836691887615e-13,50
body,3,GO:0031325,positive regulation of cellular metabolic process,89/356,480/4443,1.274623648758705e-15,2.1286214934270374e-13,1.4441668900768486e-13,89
body,3,GO:0051172,negative regulation of nitrogen compound metabolic process,67/356,305/4443,1.7015457381831086e-15,2.6047829342019757e-13,1.7672194333410535e-13,67
body,3,GO:0009890,negative regulation of biosynthetic process,55/356,222/4443,3.6665049056233396e-15,4.810978222592911e-13,3.264016397186492e-13,55
body,3,GO:0031327,negative regulation of cellular biosynthetic process,55/356,222/4443,3.6665049056233396e-15,4.810978222592911e-13,3.264016397186492e-13,55
body,3,GO:0000278,mitotic cell cycle,70/356,333/4443,4.020184704249943e-15,4.923386201138097e-13,3.340279782338199e-13,70
body,3,GO:0022402,cell cycle process,77/356,390/4443,5.0381879485315515e-15,5.784469538407788e-13,3.9244832441193143e-13,77
body,3,GO:0010558,negative regulation of macromolecule biosynthetic process,54/356,217/4443,5.515037707563188e-15,5.959484863996222e-13,4.0432226908698546e-13,54
body,3,GO:0051254,positive regulation of RNA metabolic process,61/356,269/4443,8.227596687720063e-15,8.396719508523198e-13,5.696768700737166e-13,61
body,3,GO:0031324,negative regulation of cellular metabolic process,69/356,336/4443,2.312896995160362e-14,2.2362062000576765e-12,1.5171579181550521e-12,69
body,3,GO:0009790,embryo development,67/356,327/4443,6.704258624099712e-14,6.157861546235585e-12,4.177811689965294e-12,67
body,3,GO:0051726,regulation of cell cycle,51/356,218/4443,4.890574781952008e-13,4.278088511640876e-11,2.9024764620707657e-11,51
body,3,GO:1903047,mitotic cell cycle process,53/356,236/4443,9.36544717656561e-13,7.820148392432284e-11,5.305593041652479e-11,53
body,3,GO:0010564,regulation of cell cycle process,40/356,148/4443,1.4973453665690951e-12,1.19592323408149e-10,8.113761620218804e-11,40
body,3,GO:0045893,"positive regulation of transcription, DNA-templated",51/356,232/4443,6.385616831754026e-12,4.5116838922815944e-10,3.0609596472861406e-10,51
body,3,GO:1902680,positive regulation of RNA biosynthetic process,51/356,232/4443,6.385616831754026e-12,4.5116838922815944e-10,3.0609596472861406e-10,51
body,3,GO:1903508,positive regulation of nucleic acid-templated transcription,51/356,232/4443,6.385616831754026e-12,4.5116838922815944e-10,3.0609596472861406e-10,51
body,3,GO:0016570,histone modification,35/356,125/4443,1.3738748279815488e-11,9.347437255563352e-10,6.341784781014245e-10,35
body,3,GO:0007292,female gamete generation,79/356,470/4443,1.8464021726135597e-11,1.2113717111039675e-9,8.218572076595695e-10,79
body,3,GO:0050793,regulation of developmental process,69/356,387/4443,3.018019278615488e-11,1.911759108557466e-9,1.297036234439469e-9,69
body,3,GO:0031328,positive regulation of cellular biosynthetic process,58/356,299/4443,4.7014536883720555e-11,2.8788568085131554e-9,1.953165321765794e-9,58
body,3,GO:0007419,ventral cord development,18/356,37/4443,5.256147212578902e-11,3.1113480102701498e-9,2.11089937493044e-9,18
body,3,GO:0009891,positive regulation of biosynthetic process,58/356,300/4443,5.4198767734700486e-11,3.1113480102701498e-9,2.11089937493044e-9,58
body,3,GO:0010629,negative regulation of gene expression,46/356,211/4443,1.059490041567216e-10,5.897827898057502e-9,4.001391416955611e-9,46
body,3,GO:0010557,positive regulation of macromolecule biosynthetic process,53/356,268/4443,1.7271538989598104e-10,9.331710918791682e-9,6.3311152209548474e-9,53
body,3,GO:0051253,negative regulation of RNA metabolic process,40/356,172/4443,2.502421923956315e-10,1.2354350159846402e-8,8.381829979805829e-9,40
body,3,GO:0045892,"negative regulation of transcription, DNA-templated",38/356,158/4443,2.5556086340455267e-10,1.2354350159846402e-8,8.381829979805829e-9,38
body,3,GO:1902679,negative regulation of RNA biosynthetic process,38/356,158/4443,2.5556086340455267e-10,1.2354350159846402e-8,8.381829979805829e-9,38
body,3,GO:1903507,negative regulation of nucleic acid-templated transcription,38/356,158/4443,2.5556086340455267e-10,1.2354350159846402e-8,8.381829979805829e-9,38
body,3,GO:0045934,negative regulation of nucleobase-containing compound metabolic process,42/356,190/4443,4.73090960835954e-10,2.2283797309119166e-8,1.5118480367875023e-8,42
body,3,GO:0007444,imaginal disc development,61/356,342/4443,5.247632581148996e-10,2.4099752628926765e-8,1.6350518358106347e-8,61
body,3,GO:0035295,tube development,69/356,414/4443,7.122204911245321e-10,3.191095224867721e-8,2.165004008963918e-8,69
body,3,GO:0022008,neurogenesis,74/356,467/4443,1.6504674232878079e-9,7.21883013471358e-8,4.897627642037004e-8,74
body,3,GO:0051241,negative regulation of multicellular organismal process,27/356,95/4443,2.3437869278120866e-9,1.0012875782304193e-7,6.793252686730748e-8,27
body,3,GO:0002009,morphogenesis of an epithelium,61/356,355/4443,2.4779487183942826e-9,1.034543589929613e-7,7.018878666456532e-8,61
body,3,GO:0048729,tissue morphogenesis,61/356,356/4443,2.780281880662186e-9,1.1349728477280969e-7,7.700242682348604e-8,61
body,3,GO:0048477,oogenesis,70/356,439/4443,3.869625769846504e-9,1.5453266389582667e-7,1.0484294991986867e-7,70
body,3,GO:0007389,pattern specification process,55/356,308/4443,4.12454445245481e-9,1.6120825870552096e-7,1.0937201862724514e-7,55
body,3,GO:1901987,regulation of cell cycle phase transition,26/356,92/4443,5.3682864585614285e-9,2.054487963411947e-7,1.3938708699422657e-7,26
body,3,GO:0007281,germ cell development,75/356,491/4443,6.919187003746835e-9,2.593989086914885e-7,1.7598963292022026e-7,75
body,3,GO:0006338,chromatin remodeling,24/356,81/4443,7.564353562025355e-9,2.7791434986881157e-7,1.8855146563027414e-7,24
body,3,GO:0007346,regulation of mitotic cell cycle,30/356,120/4443,8.388153255528667e-9,3.021379907922777e-7,2.0498603621353857e-7,30
body,3,GO:0007417,central nervous system development,33/356,142/4443,1.0605717575717997e-8,3.7466736897296085e-7,2.541937167945366e-7,33
body,3,GO:0003002,regionalization,51/356,283/4443,1.1952950130618622e-8,4.142937620744605e-7,2.810783109166325e-7,51
body,3,GO:0048699,generation of neurons,69/356,442/4443,1.2885754395740372e-8,4.3835427453657525e-7,2.9740220671650296e-7,69
body,3,GO:0048569,post-embryonic animal organ development,51/356,285/4443,1.5311130690925303e-8,5.113917650769052e-7,3.469546169962787e-7,51
body,3,GO:0035220,wing disc development,46/356,244/4443,1.5941065248446355e-8,5.229238725249278e-7,3.547785950030166e-7,46
body,3,GO:0044770,cell cycle phase transition,28/356,110/4443,1.7612418041896566e-8,5.676142446134033e-7,3.850988543232786e-7,28
body,3,GO:0051239,regulation of multicellular organismal process,52/356,296/4443,2.0858186751638873e-8,6.606291217717346e-7,4.482049566958335e-7,52
body,3,GO:0045595,regulation of cell differentiation,35/356,163/4443,3.3057630812352095e-8,1.0121144633715134e-6,6.866707874004365e-7,35
body,3,GO:0045944,positive regulation of transcription by RNA polymerase II,35/356,163/4443,3.3057630812352095e-8,1.0121144633715134e-6,6.866707874004365e-7,35
body,3,GO:0051246,regulation of protein metabolic process,56/356,335/4443,3.479085490884248e-8,1.047718040451535e-6,7.10826095117679e-7,56
body,3,GO:0018205,peptidyl-lysine modification,27/356,109/4443,5.9726497296261e-8,1.7696383150521202e-6,1.2006141391981838e-6,27
body,3,GO:0051093,negative regulation of developmental process,30/356,130/4443,6.097004628628376e-8,1.777809127427036e-6,1.2061576408180448e-6,30
body,3,GO:0007166,cell surface receptor signaling pathway,61/356,388/4443,8.239602858994868e-8,2.3478386963697603e-6,1.5928951760603936e-6,61
body,3,GO:0009791,post-embryonic development,58/356,361/4443,8.307540297443354e-8,2.3478386963697603e-6,1.5928951760603936e-6,58
body,3,GO:0045165,cell fate commitment,35/356,169/4443,8.695492148229945e-8,2.420245314590668e-6,1.642019569936883e-6,35
body,3,GO:0060562,epithelial tube morphogenesis,48/356,277/4443,1.221953401538896e-7,3.3503408934730623e-6,2.2730445049835867e-6,48
body,3,GO:0009887,animal organ morphogenesis,64/356,422/4443,1.5103249202027308e-7,4.080098350606495e-6,2.7681496989474198e-6,64
body,3,GO:0009966,regulation of signal transduction,69/356,471/4443,1.808259600229979e-7,4.814163602351408e-6,3.266177523527529e-6,69
body,3,GO:0009968,negative regulation of signal transduction,42/356,231/4443,2.0853421969278357e-7,5.472533736794906e-6,3.712849866409861e-6,42
body,3,GO:0032268,regulation of cellular protein metabolic process,51/356,312/4443,3.2571328787061194e-7,8.40439504617243e-6,5.701976182372951e-6,51
body,3,GO:0007423,sensory organ development,45/356,260/4443,3.294047051303293e-7,8.40439504617243e-6,5.701976182372951e-6,45
body,3,GO:1901990,regulation of mitotic cell cycle phase transition,20/356,71/4443,3.52235025784839e-7,8.863777292695195e-6,6.013644852620755e-6,20
body,3,GO:0030182,neuron differentiation,61/356,404/4443,3.689022028927115e-7,9.049699421581869e-6,6.1397840387089555e-6,61
body,3,GO:0048585,negative regulation of response to stimulus,45/356,261/4443,3.694760242888624e-7,9.049699421581869e-6,6.1397840387089555e-6,45
body,3,GO:1903046,meiotic cell cycle process,29/356,134/4443,4.463691508533748e-7,1.0789212238390126e-5,7.319959482138445e-6,29
body,3,GO:0061982,meiosis I cell cycle process,19/356,66/4443,4.79884762769763e-7,1.1448679340364347e-5,7.76737606451674e-6,19
body,3,GO:0009880,embryonic pattern specification,29/356,135/4443,5.273390058166808e-7,1.2419509662631316e-5,8.426037555829286e-6,29
body,3,GO:0010648,negative regulation of cell communication,42/356,239/4443,5.527720071226314e-7,1.2725586871830949e-5,8.633696161503507e-6,42
body,3,GO:0018193,peptidyl-amino acid modification,39/356,214/4443,5.541899563127251e-7,1.2725586871830949e-5,8.633696161503507e-6,39
body,3,GO:0023057,negative regulation of signaling,42/356,240/4443,6.218332073737337e-7,1.4102562986982084e-5,9.56790796011047e-6,42
body,3,GO:0045596,negative regulation of cell differentiation,18/356,61/4443,6.44545331556834e-7,1.4439387488657367e-5,9.796427118912598e-6,18
body,3,GO:0044772,mitotic cell cycle phase transition,22/356,87/4443,7.147694246046352e-7,1.5768400437312543e-5,1.0698098225240265e-5,22
body,3,GO:0035239,tube morphogenesis,49/356,302/4443,7.210373634917003e-7,1.5768400437312543e-5,1.0698098225240265e-5,49
body,3,GO:0000122,negative regulation of transcription by RNA polymerase II,23/356,94/4443,7.495964902261708e-7,1.6200102971123243e-5,1.0990987547093327e-5,23
body,3,GO:0007472,wing disc morphogenesis,35/356,184/4443,7.719903986182105e-7,1.649007397978666e-5,1.1187718873487898e-5,35
body,3,GO:0001654,eye development,39/356,217/4443,8.047320891350787e-7,1.6610031997091454e-5,1.1269104595339248e-5,39
body,3,GO:0048880,sensory system development,39/356,217/4443,8.047320891350787e-7,1.6610031997091454e-5,1.1269104595339248e-5,39
body,3,GO:0150063,visual system development,39/356,217/4443,8.047320891350787e-7,1.6610031997091454e-5,1.1269104595339248e-5,39
body,3,GO:0014016,neuroblast differentiation,9/356,16/4443,8.511443701276653e-7,1.7372802310272458e-5,1.1786607417908254e-5,9
body,3,GO:0051302,regulation of cell division,12/356,29/4443,8.664311998601565e-7,1.7490484770803378e-5,1.186644928437739e-5,12
body,3,GO:0007059,chromosome segregation,28/356,132/4443,1.0960781860841564e-6,2.188582204170212e-5,1.4848473367547382e-5,28
body,3,GO:0000280,nuclear division,36/356,195/4443,1.1324541411771505e-6,2.2131045290876866e-5,1.501484550004195e-5,36
body,3,GO:0008283,cell population proliferation,36/356,195/4443,1.1324541411771505e-6,2.2131045290876866e-5,1.501484550004195e-5,36
body,3,GO:0035282,segmentation,30/356,148/4443,1.2425632829210183e-6,2.4027250007641165e-5,1.6301328830786546e-5,30
body,3,GO:0014017,neuroblast fate commitment,8/356,13/4443,1.4169427236595913e-6,2.7113789410027807e-5,1.8395396763299962e-5,8
body,3,GO:0007560,imaginal disc morphogenesis,41/356,239/4443,1.474464978092969e-6,2.7638695558742695e-5,1.8751520236971805e-5,41
body,3,GO:0048563,post-embryonic animal organ morphogenesis,41/356,239/4443,1.474464978092969e-6,2.7638695558742695e-5,1.8751520236971805e-5,41
body,3,GO:0051321,meiotic cell cycle,29/356,143/4443,1.8661070687361301e-6,3.46266533865482e-5,2.349251216782114e-5,29
body,3,GO:0034968,histone lysine methylation,13/356,36/4443,1.9086678857917296e-6,3.5062229061994074e-5,2.3788029229235873e-5,13
body,3,GO:0048736,appendage development,36/356,200/4443,2.1231901431877815e-6,3.8181880956267786e-5,2.590456238846005e-5,36
body,3,GO:0048737,imaginal disc-derived appendage development,36/356,200/4443,2.1231901431877815e-6,3.8181880956267786e-5,2.590456238846005e-5,36
body,3,GO:0002165,instar larval or pupal development,49/356,313/4443,2.1408458021206215e-6,3.8181880956267786e-5,2.590456238846005e-5,49
body,3,GO:0032269,negative regulation of cellular protein metabolic process,26/356,122/4443,2.453643288566385e-6,4.3339833856696636e-5,2.9403984348811743e-5,26
body,3,GO:0048285,organelle fission,36/356,202/4443,2.7089296271764277e-6,4.739336881069616e-5,3.215411206593374e-5,36
body,3,GO:0051248,negative regulation of protein metabolic process,26/356,123/4443,2.8859149605114807e-6,5.001345077792066e-5,3.393171115437531e-5,26
body,3,GO:0040029,"regulation of gene expression, epigenetic",21/356,88/4443,3.5523309089656846e-6,6.0987213829625824e-5,4.137687945120877e-5,21
body,3,GO:0035120,post-embryonic appendage morphogenesis,35/356,196/4443,3.5897423019181424e-6,6.105885748725581e-5,4.142548621316843e-5,35
body,3,GO:0006468,protein phosphorylation,36/356,205/4443,3.872772250094004e-6,6.526864792130904e-5,4.428162572777693e-5,36
body,3,GO:0035107,appendage morphogenesis,35/356,197/4443,4.049632022334455e-6,6.642670501536472e-5,4.506731154238423e-5,35
body,3,GO:0035114,imaginal disc-derived appendage morphogenesis,35/356,197/4443,4.049632022334455e-6,6.642670501536472e-5,4.506731154238423e-5,35
body,3,GO:0001709,cell fate determination,19/356,75/4443,4.049967861579123e-6,6.642670501536472e-5,4.506731154238423e-5,19
body,3,GO:0010721,negative regulation of cell development,12/356,33/4443,4.407205813098786e-6,7.148044772558127e-5,4.8496031921088864e-5,12
body,3,GO:0035556,intracellular signal transduction,56/356,386/4443,4.4359123792685165e-6,7.148044772558127e-5,4.8496031921088864e-5,56
body,3,GO:0000082,G1/S transition of mitotic cell cycle,11/356,28/4443,4.6357319834926505e-6,7.341241080755172e-5,4.980677557581941e-5,11
body,3,GO:0044843,cell cycle G1/S phase transition,11/356,28/4443,4.6357319834926505e-6,7.341241080755172e-5,4.980677557581941e-5,11
